Regions,Countries,Accuracy,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CENTRAL & SOUTH AMERICA,BOLIVIA,Estimated,"1,000","1,500","1,500","1,500","1,000","8,000","9,500","14,000","13,900","18,500"
CENTRAL & SOUTH AMERICA,BRAZIL,Measured,"1,369,182","1,556,220","1,975,518","2,193,277","2,474,764","2,644,706","2,647,250","2,851,540","2,763,718","2,504,161"
CENTRAL & SOUTH AMERICA,CHILE,Estimated,"140,000","140,000","180,000","181,523","130,753","212,336","245,116","257,013","286,588","256,160"
CENTRAL & SOUTH AMERICA,COLOMBIA,Estimated,"120,000","160,000","200,000","180,000","170,000","250,000","250,000","240,000","238,800","265,100"
CENTRAL & SOUTH AMERICA,COSTA RICA,Estimated,"13,000","15,000","13,000","15,000","12,000","20,000","30,000","30,000","29,800","35,200"
CENTRAL & SOUTH AMERICA,CUBA,Estimated,"2,000","2,000","3,000","3,000","1,500","2,000","3,000","4,000","4,000","4,000"
CENTRAL & SOUTH AMERICA,DOMINICAN REPUBLIC,Estimated,"16,000","16,000","18,000","20,000","8,000","15,000","15,000","15,000","14,900","17,400"
CENTRAL & SOUTH AMERICA,ECUADOR,Measured,"54,342","58,900","58,334","69,556","60,596","90,250","94,297","80,644","74,169","78,495"
CENTRAL & SOUTH AMERICA,EL SALVADOR,Estimated,"4,000","6,000","8,000","10,000","2,000","3,000","3,000","5,000","5,000","5,000"
CENTRAL & SOUTH AMERICA,GUADELOUPE,Measured,"14,359","13,562","15,539","14,295","14,084","13,480","13,695","13,158","12,427","12,599"
CENTRAL & SOUTH AMERICA,GUATEMALA,Estimated,"8,100","9,400","12,100","12,800","13,000","14,100","15,000","16,000","15,900","17,300"
CENTRAL & SOUTH AMERICA,GUYANA,Measured,"4,085","4,071","4,437","4,357","4,446","4,393","4,719","4,357","4,256","4,248"
CENTRAL & SOUTH AMERICA,HONDURAS,Estimated,"4,800","5,600","7,100","8,000","6,000","1,000","1,000","1,000","1,000","1,300"
CENTRAL & SOUTH AMERICA,JAMAICA,Estimated,"3,000","3,000","3,000","3,000","4,000","2,000","2,000","2,000","2,000","2,300"
CENTRAL & SOUTH AMERICA,MARTINIQUE,Measured,"14,749","14,132","14,666","13,679","13,142","13,187","12,976","11,527","11,091","11,325"
CENTRAL & SOUTH AMERICA,NICARAGUA,Estimated,"3,000","6,000","6,000","6,000","4,000","3,000","3,000","3,000","4,000","5,200"
CENTRAL & SOUTH AMERICA,PANAMA,Estimated,"10,000","15,000","22,000","30,000","25,000","30,000","35,000","40,000","39,800","43,000"
CENTRAL & SOUTH AMERICA,PARAGUAY,Estimated,"3,000","5,000","6,000","12,000","7,000","11,000","20,000","20,000","19,900","21,500"
CENTRAL & SOUTH AMERICA,PERU,Measured,"14,231","20,061","28,430","55,312","48,775","73,858","93,055","128,295","139,453","138,226"
CENTRAL & SOUTH AMERICA,PUERTO RICO,Estimated,"96,000","85,000","92,000","65,000","65,000","45,000","55,000","55,000","54,700","58,500"
CENTRAL & SOUTH AMERICA,TRINIDAD,Estimated,"10,000","10,000","5,000","10,000","10,000","10,000","10,000","8,000","8,000","6,300"
CENTRAL & SOUTH AMERICA,URUGUAY,Estimated,"10,000","10,000","12,000","15,000","30,000","40,000","38,308","38,109","41,785","40,171"
CENTRAL & SOUTH AMERICA,VENEZUELA,Measured,"128,601","184,108","267,932","135,882","67,047","68,210","65,339","60,776","43,887","10,430"
ASIA/OCEANIA/MIDDLE EAST,AUSTRALIA,Measured,"608,804","598,394","637,019","596,765","540,562","592,122","559,314","576,855","566,454","531,596"
ASIA/OCEANIA/MIDDLE EAST,AZERBAIDJAN,Estimated,"12,100","13,000","15,000","15,000","10,000","13,000","10,000","14,000","21,000","23,300"
ASIA/OCEANIA/MIDDLE EAST,BAHRAIN,Estimated,"18,000","18,000","20,000","30,000","28,000","29,000","26,000","40,000","43,500","49,600"
ASIA/OCEANIA/MIDDLE EAST,BANGLADESH,Estimated,"6,500","9,000","12,000","17,000","21,500","20,700","20,800","24,600","24,000","29,300"
ASIA/OCEANIA/MIDDLE EAST,BRUNEI,Estimated,"15,000","15,000","10,000","15,000","10,000","10,000","15,000","15,000","14,700","18,100"
ASIA/OCEANIA/MIDDLE EAST,CAMBODGE,Estimated,"1,000","1,000","1,500","1,500","1,500","1,500","2,000","2,000","2,000","2,400"
ASIA/OCEANIA/MIDDLE EAST,CHINA,Measured,"3,971,101","5,175,961","6,297,538","6,755,609","10,331,315","13,757,794","14,472,416","15,495,240","17,927,730","19,700,569"
ASIA/OCEANIA/MIDDLE EAST,HONG-KONG,Measured,"27,483","27,877","33,462","35,182","28,797","41,638","44,845","45,283","46,147","48,500"
ASIA/OCEANIA/MIDDLE EAST,INDIA,Measured,"1,106,863","1,311,373","1,511,812","1,545,414","1,816,878","2,387,197","2,510,313","2,781,919","2,553,979","2,570,531"
ASIA/OCEANIA/MIDDLE EAST,INDONESIA,Measured,"364,319","222,387","314,769","425,267","359,367","541,475","602,291","780,785","880,032","879,461"
ASIA/OCEANIA/MIDDLE EAST,IRAK,Estimated,"2,000","5,000","4,000","20,000","35,000","65,000","71,500","80,000","78,200","61,000"
ASIA/OCEANIA/MIDDLE EAST,IRAN,Measured,"730,000","850,000","900,000","1,000,000","1,100,000","1,410,403","1,452,965","901,268","691,709","1,106,700"
ASIA/OCEANIA/MIDDLE EAST,ISRAEL,Estimated,"130,000","130,000","200,000","170,000","160,000","200,000","210,000","190,000","200,000","228,000"
ASIA/OCEANIA/MIDDLE EAST,JAPAN,Measured,"4,748,482","4,612,318","4,325,508","4,184,266","3,905,310","4,203,181","3,509,036","4,572,333","4,562,282","4,699,590"
ASIA/OCEANIA/MIDDLE EAST,JORDAN,Estimated,"10,000","5,000","5,000","9,000","10,500","10,000","11,000","11,500","14,500","15,700"
ASIA/OCEANIA/MIDDLE EAST,KAZAKSTAN,Measured,"39,800","39,100","39,500","39,000","40,000","24,000","38,348","86,959","153,664","151,424"
ASIA/OCEANIA/MIDDLE EAST,KIRGHIZISTAN,Estimated,"5,000","5,000","5,000","4,000","4,500","4,000","5,000","4,000","4,000","4,000"
ASIA/OCEANIA/MIDDLE EAST,KUWAIT,Estimated,"50,000","65,000","70,000","80,000","90,000","90,000","95,000","116,500","125,000","126,300"
ASIA/OCEANIA/MIDDLE EAST,LAOS,Estimated,"1,000","1,000","1,500","2,000","3,000","4,000","4,000","5,000","6,000","9,800"
ASIA/OCEANIA/MIDDLE EAST,LEBANON,Estimated,"15,000","15,000","20,000","33,000","32,000","33,000","31,000","35,500","35,500","38,300"
ASIA/OCEANIA/MIDDLE EAST,MALAYSIA,Measured,"410,892","374,169","442,885","497,459","486,342","543,594","535,113","552,189","576,657","588,341"
ASIA/OCEANIA/MIDDLE EAST,MONGOLIA,Estimated,500,500,"1,000","3,000","3,000","3,000","3,000","2,000","1,500","1,100"
ASIA/OCEANIA/MIDDLE EAST,MYANMAR,Estimated,"1,000","1,000","1,000","1,200","1,500","1,800","1,800","2,100","2,000","1,000"
ASIA/OCEANIA/MIDDLE EAST,NEPAL,Estimated,"1,000","1,000","2,000","1,500","2,000","1,000","3,000","3,600","3,500","5,300"
ASIA/OCEANIA/MIDDLE EAST,NEW CALEDONIA,Measured,"7,397","7,251","7,717","7,853","7,246","7,354","7,525","7,250","5,934","5,343"
ASIA/OCEANIA/MIDDLE EAST,NEW ZEALAND,Measured,"77,825","76,804","77,454","73,397","54,404","62,029","63,471","76,871","82,433","84,007"
ASIA/OCEANIA/MIDDLE EAST,OMAN,Estimated,"148,100","145,400","146,700","145,000","105,000","115,000","115,000","130,000","140,000","138,600"
ASIA/OCEANIA/MIDDLE EAST,PAKISTAN,Measured,"141,326","160,256","159,457","127,863","94,437","130,038","140,184","136,026","121,122","123,950"
ASIA/OCEANIA/MIDDLE EAST,PALESTINE,Estimated,"13,500","15,700","16,400","18,400","13,400","17,400","19,700","21,600","21,100","21,100"
ASIA/OCEANIA/MIDDLE EAST,PHILIPPINES,Measured,"35,063","38,131","41,107","44,313","46,111","59,623","57,768","64,165","76,822","108,327"
ASIA/OCEANIA/MIDDLE EAST,QATAR,Estimated,"61,200","60,100","60,700","60,000","40,000","40,000","45,000","60,000","65,000","71,500"
ASIA/OCEANIA/MIDDLE EAST,SAUDI ARABIA,Measured,"408,700","401,100","404,800","400,000","390,000","450,000","460,000","540,000","570,000","632,700"
ASIA/OCEANIA/MIDDLE EAST,SINGAPORE,Measured,"109,167","116,849","110,814","100,979","73,183","47,273","33,493","32,724","27,955","28,932"
ASIA/OCEANIA/MIDDLE EAST,SOUTH KOREA,Measured,"893,159","932,650","1,010,790","1,017,595","1,221,118","1,237,482","1,293,501","1,256,403","1,243,868","1,359,834"
ASIA/OCEANIA/MIDDLE EAST,SRI LANKA,Estimated,"2,600","2,800","2,900","3,000","3,000","2,000","7,000","8,000","10,000","13,800"
ASIA/OCEANIA/MIDDLE EAST,SYRIA,Estimated,"32,985","45,467","36,000","42,000","46,000","78,147","33,160","36,300","35,500","33,400"
ASIA/OCEANIA/MIDDLE EAST,TADJIKISTAN,Estimated,"5,300","5,700","5,800","6,000","7,000","6,500","7,500","6,000","6,000","6,100"
ASIA/OCEANIA/MIDDLE EAST,TAHITI,Estimated,"5,200","5,100","5,400","5,000","3,500","3,500","4,000","3,000","2,500","2,500"
ASIA/OCEANIA/MIDDLE EAST,TAIWAN,Measured,"325,840","218,610","213,327","141,161","187,262","208,300","235,205","211,578","211,824","235,480"
ASIA/OCEANIA/MIDDLE EAST,THAILAND,Measured,"178,291","184,544","172,321","226,805","230,037","346,644","360,441","660,214","663,746","411,402"
ASIA/OCEANIA/MIDDLE EAST,TUKMENISTAN,Estimated,"3,900","4,200","4,300","4,500","4,500","4,500","5,000","4,500","4,500","4,600"
ASIA/OCEANIA/MIDDLE EAST,UNITED ARAB EMIRATES,Measured,"137,000","150,000","135,000","191,544","90,238","136,979","193,268","211,500","206,700","206,700"
ASIA/OCEANIA/MIDDLE EAST,UZBEKISTAN,Estimated,"28,500","31,100","31,700","43,000","45,000","43,500","48,000","45,000","45,500","46,000"
ASIA/OCEANIA/MIDDLE EAST,VIETNAM,Measured,"24,888","23,335","40,115","50,877","62,722","57,778","64,564","44,070","59,857","79,806"
ASIA/OCEANIA/MIDDLE EAST,YEMEN,Estimated,"4,000","4,700","4,800","5,000","5,000","2,000","2,000","2,000","2,000","2,100"
AFRICA,ALGERIA,Measured,"71,046","81,803","97,239","111,753","131,259","97,765","165,415","188,990","222,710","178,200"
AFRICA,ANGOLA,Estimated,"6,000","8,000","3,500","3,500","10,000","20,000","10,000","17,000","20,000","24,000"
AFRICA,BOTSWANA,Measured,"12,905","13,073","16,538","20,037","19,354","20,972","25,204","31,471","31,122","26,500"
AFRICA,BURKINA,Estimated,500,500,500,600,550,700,500,500,700,700
AFRICA,BURUNDI,Estimated,500,500,600,700,700,300,200,210,210,200
AFRICA,CAMEROON,Estimated,"1,300","1,400","1,400","1,400","1,400","1,400","1,400","1,900","2,400","2,300"
AFRICA,CONGO,Estimated,200,200,200,500,"1,500","1,500","1,500","1,500","1,500","1,500"
AFRICA,EGYPT,Estimated,"94,538","132,373","179,149","203,729","158,926","192,848","210,300","222,700","220,000","273,500"
AFRICA,GABON,Estimated,800,"1,000","1,200","2,500","2,000","2,000","2,000","3,500","3,000","2,900"
AFRICA,GHANA,Estimated,"2,500","3,000","3,500","3,500","4,500","4,000","6,000","6,500","6,600","6,900"
AFRICA,IVORY COAST,Estimated,"2,000","2,500","2,000","2,500","3,000","3,500","3,500","5,000","4,000","4,300"
AFRICA,KENYA,Estimated,"2,000","3,000","2,000","2,000","5,000","4,000","4,000","2,000","2,500","3,000"
AFRICA,LIBERIA,Estimated,300,200,300,300,200,300,200,210,210,200
AFRICA,LIBYA,Estimated,"35,000","35,000","36,000","37,000","37,500","38,000","39,000","20,000","30,000","30,000"
AFRICA,MADAGASCAR,Estimated,930,"1,100","1,100","1,000",900,900,"1,100","1,200","1,200","1,600"
AFRICA,MALAWI,Estimated,930,"1,100","1,100","1,000","1,000","1,500","1,500","1,000","1,000","1,100"
AFRICA,MAURITIUS,Estimated,"2,900","3,500","4,000","4,000","3,000","4,000","3,000","7,000","7,500","8,600"
AFRICA,MOROCCO,Measured,"56,183","75,295","90,941","102,095","93,761","91,119","99,727","117,818","108,177","109,649"
AFRICA,NIGERIA,Estimated,"16,000","22,000","7,000","7,000","34,000","25,000","30,000","40,000","40,000","42,000"
AFRICA,REUNION,Measured,"25,142","22,437","24,819","23,267","20,935","20,295","21,111","19,795","19,465","20,605"
AFRICA,SENEGAL,Estimated,"3,000","3,000","3,000","3,000","4,000","4,000","3,500","4,000","4,000","4,500"
AFRICA,SOUTH AFRICA,Measured,"419,868","481,558","434,653","329,262","258,129","337,130","396,292","440,002","450,561","439,264"
AFRICA,SUDAN,Estimated,"2,000","2,000","2,500","3,000","7,000","2,000","2,000","2,000","1,500","1,800"
AFRICA,TANZANIA,Estimated,"2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,500","1,000"
AFRICA,TUNISIA,Estimated,"25,000","30,000","30,000","33,000","35,000","45,000","35,000","37,000","35,000","37,100"
AFRICA,UGANDA,Estimated,"3,000","3,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
AFRICA,ZAMBIA,Estimated,"2,300","2,700","2,800","2,600","3,000","2,000","2,000","2,000","2,000","2,000"
AFRICA,ZIMBABWE,Estimated,"7,000","6,000","3,000","3,000","3,000","2,000","3,000","3,000","3,000","4,100"
